Data_Hora;Latitude;Longitude;Velocidade;Position;Placa_Virtual;Trecho;F_max;ACT;PEG
44812,53545;-4,40454854;-42,3425765;16,92;742,56;732744;T6;-81,00344704;-31,59132018;88,03053764
44812,53545;-4,40454854;-42,3425765;16,92;742,56;732744;T6;-81,00344704;-31,59132018;88,03053764
44812,53545;-4,40454854;-42,3425765;16,92;742,56;732744;T6;-81,00344704;-31,59132018;88,03053764
44812,53545;-4,40454854;-42,3425765;16,92;742,56;732744;T6;-81,00344704;-31,59132018;88,03053764
44812,53545;-4,40454854;-42,3425765;16,92;742,56;732744;T6;-81,00344704;-31,59132018;88,03053764
44812,53545;-4,40454854;-42,3425765;16,92;742,56;732744;T6;-81,00344704;-31,59132018;88,03053764
44812,53545;-4,40454854;-42,3425765;16,92;742,56;732744;T6;-81,00344704;-31,59132018;88,03053764
44812,53545;-4,40454854;-42,3425765;16,92;742,56;732744;T6;-81,00344704;-31,59132018;88,03053764
44812,53545;-4,40454854;-42,3425765;16,92;742,56;732744;T6;-81,00344704;-31,59132018;88,03053764
44812,53545;-4,40454854;-42,3425765;16,92;742,56;732744;T6;-81,00344704;-31,59132018;88,03053764
44812,53545;-4,40454854;-42,3425765;16,92;742,56;732744;T6;-81,00344704;-31,59132018;88,03053764
44812,53545;-4,40454854;-42,3425765;16,92;742,56;732744;T6;-81,00344704;-31,59132018;88,03053764
44812,53545;-4,40454854;-42,3425765;16,92;742,56;732744;T6;-81,00344704;-31,59132018;88,03053764
44812,53545;-4,40454854;-42,3425765;16,92;742,56;732744;T6;-81,00344704;-31,59132018;88,03053764
44812,53545;-4,40454854;-42,3425765;16,92;742,56;732744;T6;-81,00344704;-31,59132018;88,03053764
44812,53545;-4,40454854;-42,3425765;16,92;742,56;732744;T6;-81,00344704;-31,59132018;88,03053764
44812,53545;-4,40454854;-42,3425765;16,92;742,56;732744;T6;-81,00344704;-31,59132018;88,03053764
44812,53545;-4,40454854;-42,3425765;16,92;742,56;732744;T6;-81,00344704;-31,59132018;88,03053764
44812,53545;-4,40454854;-42,3425765;16,92;742,56;732744;T6;-81,00344704;-31,59132018;88,03053764
44812,53545;-4,40454854;-42,3425765;16,92;742,56;732744;T6;-81,00344704;-31,59132018;88,03053764
44812,53545;-4,40454854;-42,3425765;16,92;742,56;732744;T6;-81,00344704;-31,59132018;88,03053764
44812,53545;-4,40454854;-42,3425765;16,92;742,56;732744;T6;-81,00344704;-31,59132018;88,03053764
44812,53545;-4,40454854;-42,3425765;16,92;742,56;732744;T6;-81,00344704;-31,59132018;88,03053764
44812,53545;-4,40454854;-42,3425765;16,92;742,56;732744;T6;-81,00344704;-31,59132018;88,03053764
44812,53545;-4,40454854;-42,3425765;16,92;742,56;732744;T6;-81,00344704;-31,59132018;88,03053764
44812,53545;-4,40454854;-42,3425765;16,92;742,56;732744;T6;-81,00344704;-31,59132018;88,03053764
44812,53545;-4,40454854;-42,3425765;16,92;742,56;732744;T6;-81,00344704;-31,59132018;88,03053764
44812,53545;-4,40454854;-42,3425765;16,92;742,56;732744;T6;-81,00344704;-31,59132018;88,03053764
44812,53545;-4,40454854;-42,3425765;16,92;742,56;732744;T6;-81,00344704;-31,59132018;88,03053764
44812,53545;-4,40454854;-42,3425765;16,92;742,56;732744;T6;-81,00344704;-31,59132018;88,03053764
44812,53545;-4,40454854;-42,3425765;16,92;742,56;732744;T6;-81,00344704;-31,59132018;88,03053764
44812,53545;-4,40454854;-42,3425765;16,92;742,56;732744;T6;-81,00344704;-31,59132018;88,03053764
44812,53545;-4,40454854;-42,3425765;16,92;742,56;732744;T6;-81,00344704;-31,59132018;88,03053764
44812,53545;-4,40454854;-42,3425765;16,92;742,56;732744;T6;-81,00344704;-31,59132018;88,03053764
44812,53545;-4,40454854;-42,3425765;16,92;742,56;732744;T6;-81,00344704;-31,59132018;88,03053764
